time (months),crack length (arbitary unit),rul (months)
0,0.010864910517905476,42
1,-0.02758199894859667,41
2,0.0003033018026741101,40
3,0.023905512423517697,39
4,-0.015136130996326179,38
5,0.025431901111318288,37
6,0.051361022821103004,36
7,0.009878297810522636,35
8,0.04345541268125069,34
9,0.004297136652051579,33
10,0.08273543840099085,32
11,0.06931202009579672,31
12,-0.002178890502139416,30
13,0.09524899772943184,29
14,0.050424728715448994,28
15,0.10584958303837858,27
16,0.14292982130676482,26
17,0.16455657274223298,25
18,0.2757199937698317,24
19,0.25293068073516156,23
20,0.27260627091848666,22
21,0.2363210213573495,21
22,0.36441900825987483,20
23,0.4375633601812451,19
24,0.4520036699580628,18
25,0.459114082483296,17
26,0.5725335971795791,16
27,0.6003763819777826,15
28,0.6878941167377951,14
29,0.6732244237661676,13
30,0.644022705289504,12
31,0.7628661982406841,11
32,0.6790044556761734,10
33,0.7467977110719053,9
34,0.7338725334154483,8
35,0.8464792543833926,7
36,0.8125804398635621,6
37,0.8951396126413493,5
38,0.7168453343592904,4
39,0.836005721471423,3
40,0.8984310121611385,2
41,0.7795483706211284,1
42,0.8750416738097442,0
